cell_start,cell_end,dayofweek,date,start_hour,bike_id
76,77,2,2017-10-04,18,2
76,256,2,2017-10-04,17,1
76,256,3,2017-10-05,18,1
76,256,4,2017-10-06,14,1
76,257,2,2017-10-04,7,1
76,436,3,2017-10-05,13,1
77,77,3,2017-10-05,12,1
77,77,3,2017-10-05,15,1
77,77,4,2017-10-06,17,2
77,77,4,2017-10-06,23,2
77,256,2,2017-10-04,7,4
77,256,2,2017-10-04,18,2
77,256,3,2017-10-05,0,3
77,256,3,2017-10-05,7,2
77,256,3,2017-10-05,12,2
77,256,3,2017-10-05,18,2
77,256,4,2017-10-06,18,1
77,256,4,2017-10-06,23,1
77,436,3,2017-10-05,0,1
77,436,3,2017-10-05,14,1
77,436,4,2017-10-06,17,1
77,437,4,2017-10-06,17,1
77,796,3,2017-10-05,0,1
77,1152,2,2017-10-04,19,1
77,1155,3,2017-10-05,0,1
77,1157,4,2017-10-06,23,1
79,259,3,2017-10-05,0,3
79,259,4,2017-10-06,23,3
252,253,4,2017-10-06,6,1
252,613,3,2017-10-05,22,1
253,433,3,2017-10-05,0,1
253,433,3,2017-10-05,19,1
253,434,3,2017-10-05,0,1
253,434,3,2017-10-05,21,1
253,613,2,2017-10-04,17,1
253,613,3,2017-10-05,12,1
253,613,4,2017-10-06,19,1
256,75,3,2017-10-05,0,1
256,75,3,2017-10-05,15,1
256,76,2,2017-10-04,6,1
256,76,2,2017-10-04,17,1
256,76,3,2017-10-05,7,1
256,76,3,2017-10-05,13,1
256,76,4,2017-10-06,14,2
256,77,2,2017-10-04,18,2
256,77,3,2017-10-05,0,1
256,77,3,2017-10-05,7,1
256,77,3,2017-10-05,9,1
256,77,3,2017-10-05,12,2
256,77,3,2017-10-05,15,2
256,77,3,2017-10-05,21,1
256,77,4,2017-10-06,17,2
256,256,3,2017-10-05,7,2
256,256,3,2017-10-05,21,1
256,256,4,2017-10-06,7,1
256,256,4,2017-10-06,18,1
256,256,4,2017-10-06,21,1
256,257,2,2017-10-04,7,1
256,257,3,2017-10-05,12,1
256,435,3,2017-10-05,2,1
256,435,3,2017-10-05,13,1
256,436,2,2017-10-04,5,2
256,436,3,2017-10-05,0,1
256,436,3,2017-10-05,7,1
256,617,3,2017-10-05,0,1
256,972,3,2017-10-05,0,1
257,256,2,2017-10-04,12,1
257,256,3,2017-10-05,14,1
257,256,4,2017-10-06,18,1
434,252,3,2017-10-05,0,1
434,253,2,2017-10-04,6,1
434,253,3,2017-10-05,6,1
434,253,4,2017-10-06,6,1
434,256,3,2017-10-05,13,1
434,435,3,2017-10-05,0,2
434,613,2,2017-10-04,19,1
434,615,3,2017-10-05,0,1
434,1154,3,2017-10-05,0,1
434,1330,4,2017-10-06,11,1
434,1511,2,2017-10-04,11,1
435,436,3,2017-10-05,7,1
435,1157,4,2017-10-06,1,1
435,1157,4,2017-10-06,23,1
435,1158,2,2017-10-04,22,1
435,1339,2,2017-10-04,1,1
436,76,3,2017-10-05,8,1
436,77,3,2017-10-05,0,1
436,77,4,2017-10-06,10,1
436,256,2,2017-10-04,7,2
436,256,3,2017-10-05,2,1
436,256,3,2017-10-05,12,1
436,436,4,2017-10-06,1,1
436,436,4,2017-10-06,8,1
436,437,3,2017-10-05,0,3
436,437,4,2017-10-06,7,1
436,437,4,2017-10-06,17,1
436,437,4,2017-10-06,20,3
436,438,2,2017-10-04,14,1
436,615,2,2017-10-04,19,1
436,617,4,2017-10-06,20,1
436,796,3,2017-10-05,15,1
436,976,3,2017-10-05,0,1
436,976,4,2017-10-06,7,1
436,977,3,2017-10-05,1,1
436,977,4,2017-10-06,8,1
436,1154,3,2017-10-05,0,1
436,1156,3,2017-10-05,0,1
436,1158,3,2017-10-05,0,1
436,1518,2,2017-10-04,20,1
437,436,3,2017-10-05,15,2
437,436,4,2017-10-06,18,2
437,437,3,2017-10-05,0,1
437,437,3,2017-10-05,2,1
437,437,3,2017-10-05,21,1
437,437,4,2017-10-06,1,1
437,437,4,2017-10-06,20,1
437,438,3,2017-10-05,7,2
437,615,3,2017-10-05,14,1
437,618,2,2017-10-04,14,1
437,618,3,2017-10-05,0,1
437,619,4,2017-10-06,20,1
437,973,2,2017-10-04,17,1
438,436,4,2017-10-06,7,1
438,437,3,2017-10-05,2,6
